id,lng,lat,depth,order
0,-73.7946273,40.7864093,1,8992
1,-73.7570906,40.7624294,1,8993
2,-73.7441643,40.7534671,1,8994
3,-73.9600437,40.7980478,2,22321
4,-73.9614743,40.798645,16,55053
5,-73.962886,40.7992545,1,24306
6,-73.9657046,40.8004313,13,53745
7,-73.9679942,40.8014007,7,49171
8,-73.9685711,40.8016441,1,24177
9,-73.9700504,40.8022679,2,24968
10,-73.9750067,40.7826383,2,18822
11,-73.9778254,40.783828,1,17953
12,-73.9795827,40.7845691,1,13249
13,-73.9806779,40.7850311,2,33007
14,-73.9820114,40.7855935,1,15095
15,-73.9313326,40.8593027,23,55947
16,-73.930122,40.858744,1,4995
17,-73.927625,40.859012,3,18823
18,-73.926786,40.859944,1,8995
19,-73.9703136,40.7839863,3,35289
20,-73.9731496,40.7851818,1,17954
21,-73.9759753,40.7863627,5,45194
22,-73.9776927,40.7870877,2,28206
23,-73.9788289,40.7875673,5,45514
24,-73.9810702,40.7885135,1,15096
25,-73.976212,40.725326,1,8154
26,-73.9568234,40.8126219,1,17348
27,-73.9598214,40.8138307,5,45808
28,-73.9606929,40.814184,1,17349
29,-73.9959291,40.7328569,1,17955
30,-73.9991816,40.7341463,4,42398
31,-74.0087998,40.704221,4,42876
32,-74.008325,40.703813,1,8996
33,-74.0077787,40.7033242,7,49014
34,-74.0089696,40.7041084,2,33008
35,-74.0079771,40.7032082,6,44875
36,-73.9810202,40.769279,2,17956
37,-73.9822548,40.7697921,6,46831
38,-73.9838467,40.7704805,1,8997
39,-73.9866896,40.7716682,2,28324
40,-73.9895487,40.7728658,8,48856
41,-73.9679486,40.7872303,1,15097
42,-73.9707862,40.7884325,10,52377
43,-73.9736025,40.7896131,1,17957
44,-73.9751319,40.7902552,1,20472
45,-73.9764565,40.7908174,8,50022
46,-73.9786893,40.7917606,1,15098
47,-74.0158085,40.7115654,2,13250
48,-74.0143968,40.7110102,5,41905
49,-74.0126714,40.7101452,4,30129
50,-74.011674,40.709687,3,34211
51,-74.010521,40.7091439,17,55202
52,-74.009371,40.708614,2,28325
53,-74.008269,40.7077219,4,40173
54,-73.933383,40.801654,1,8998
55,-73.9337863,40.8021373,2,28326
56,-73.9328482,40.8021279,1,10116
57,-73.9310755,40.8006413,1,11989
58,-74.0074126,40.7482137,1,8999
59,-74.002383,40.7064526,2,24197
60,-74.001657,40.7094916,16,55018
61,-73.9223431,40.7979661,1,9000
62,-73.9836866,40.7854139,4,40174
63,-73.982724,40.7880898,3,37176
64,-73.973672,40.7380812,1,9001
65,-73.9582334,40.759667,1,9002
66,-73.9841938,40.7851419,1,9003
67,-73.9826637,40.7849838,11,52997
68,-73.9721195,40.7456771,1,17958
69,-73.9749173,40.7460933,6,47909
70,-73.9756975,40.7165061,1,4174
71,-73.9747446,40.7188498,2,31644
72,-73.9853308,40.7835427,9,51534
73,-73.9337066,40.8442431,3,36260
74,-73.9323138,40.8461493,1,16511
75,-73.9326138,40.8026802,1,11990
76,-73.9329248,40.8033714,5,46341
