start,end,length
0,26628,254.70900000000006
0,42466,767.7999999999998
1,42878,259.67400000000004
1,42876,291.83900000000006
2,43926,433.1479999999999
2,43921,552.424
3,1025,86.25800000000001
1025,3,86.25800000000001
3,1328,85.342
1328,3,85.342
3,4,137.519
4,3,137.519
4,1742,84.572
1742,4,84.572
4,1026,86.442
1026,4,86.442
4,5,136.814
5,4,136.814
5,1743,86.566
5,6,270.947
6,5,270.947
6,1028,86.924
6,45747,200.546
45747,6,200.546
7,446,95.652
7,8,55.596000000000004
8,7,55.596000000000004
7,45747,20.291
45747,7,20.291
8,837,86.869
837,8,86.869
8,9,142.532
9,8,142.532
9,1029,85.19
11,10,271.702
11,54009,43.714
12,45733,17.096
12,423,86.208
13,12,105.553
13,815,79.65
815,13,79.65
13,814,86.364
814,13,86.364
14,13,128.513
14,67,87.268
67,14,87.268
14,2114,81.113
2114,14,81.113
15,46769,20.681
15,46768,38.566
46768,15,38.566
15,250,250.22500000000002
15,46765,42.447
46765,15,42.447
16,2333,201.182
2333,16,201.182
16,17,239.745
17,18,127.58500000000001
18,2786,90.62
18,51494,215.275
19,129,80.866
129,19,80.866
19,1319,80.471
1319,19,80.471
20,1669,80.824
20,19,273.284
21,20,271.735
21,2167,81.107
22,45749,16.91
23,817,80.125
817,23,80.125
23,22,109.519
23,818,80.953
818,23,80.953
24,23,216.044
24,1671,88.268
1671,24,88.268
24,2113,85.097
2113,24,85.097
25,797,101.449
797,25,101.449
25,796,127.63300000000001
796,25,127.63300000000001
26,44350,263.181
44350,26,263.181
26,2188,96.326
2188,26,96.326
26,1854,171.363
1854,26,171.363
27,28,83.201
28,27,83.201
27,44350,22.926000000000002
44350,27,22.926000000000002
27,46436,246.774
28,2302,172.764
2302,28,172.764
28,46034,245.548
46034,28,245.548
29,30,311.31399999999996
29,1754,76.59899999999999
30,972,41.435
31,34,19.017000000000003
34,31,19.017000000000003
31,3032,158.46299999999997
3032,31,158.46299999999997
32,31,60.498000000000005
33,32,71.238
33,2390,78.17
2390,33,78.17
33,35,21.125
34,282,65.61699999999999
282,34,65.61699999999999
34,35,130.47
35,45867,129.015
36,53007,80.82399999999998
37,45760,24.467
37,407,94.214
38,37,154.372
38,45864,81.501
39,54107,78.361
39,49634,80.61699999999999
49634,39,80.61699999999999
40,39,275.139
40,50116,98.338
50116,40,98.338
40,801,79.678
801,40,79.678
40,47547,79.24799999999999
47547,40,79.24799999999999
41,54138,79.025
54138,41,79.025
41,42,273.755
41,863,81.524
863,41,81.524
42,43,271.016
42,1765,80.0
43,1636,79.952
43,45759,130.437
44,45,127.84
44,430,81.003
45,46,215.248
45,822,79.014
822,45,79.014
45,821,81.592
821,45,81.592
46,1637,94.109
1637,46,94.109
46,1767,84.18900000000001
1767,46,84.18900000000001
47,45691,32.75
45691,47,32.75
47,42231,109.305
42231,47,109.305
48,42231,24.895000000000003
42231,48,24.895000000000003
48,53707,73.83
51,52,113.452
51,372,47.252
53,53525,88.58599999999998
53,2768,36.488
54,55,70.349
54,50713,55.861
55,56,87.162
56,43208,330.6400000000001
57,43208,247.873
58,743,84.127
59,42992,285.923
59,42993,794.1990000000001
60,52263,103.373
60,1113,101.187
1113,60,101.187
60,50792,177.501
50792,60,177.501
60,42998,15.532
42998,60,15.532
61,53409,109.186
62,66,148.11800000000005
62,135,55.334999999999994
135,62,55.334999999999994
62,44615,86.879
44615,62,86.879
64,3172,109.561
65,283,55.665
66,81,82.482
67,44615,11.63
44615,67,11.63
67,814,144.178
814,67,144.178
67,319,88.29700000000001
319,67,88.29700000000001
68,2839,146.855
68,3039,79.936
69,51110,12.107
69,1296,82.824
69,55573,81.951
70,2899,133.076
71,43184,271.837
71,3054,32.425
72,44615,279.53600000000006
72,66,201.96499999999997
73,2613,140.982
73,1599,84.173
1599,73,84.173
73,2216,86.212
2216,73,86.212
74,2217,77.668
2217,74,77.668
74,44640,45.510999999999996
44640,74,45.510999999999996
75,76,91.274
75,77,68.236
76,1200,15.019
76,152,81.92999999999999
77,56,81.91499999999999
77,43210,194.959
43210,77,194.959
77,2298,16.86
2298,77,16.86
78,79,91.17
78,54233,329.028
78,1729,171.652
1729,78,171.652
79,43179,301.22700000000003
80,43181,896.3270000000001
81,62,158.82299999999995
81,63,269.079
82,51374,3.421
82,83,116.857
83,50801,2221.59
83,958,63.845
958,83,63.845
83,51382,82.57
51382,83,82.57
84,2913,82.643
84,70,514.1179999999999
85,86,84.832
85,48855,152.038
48855,85,152.038
85,1041,76.262
1041,85,76.262
86,3123,150.618
86,50591,46.381
87,46837,252.928
87,46836,242.788
88,51146,187.47199999999998
51146,88,187.47199999999998
88,1995,83.089
89,3124,134.994
89,53861,79.699
90,161,125.39699999999999
91,93,41.282
92,2627,79.423
92,756,177.334
93,3102,1939.258
94,43304,99.562
94,2626,76.84599999999999
95,43204,213.676
95,51489,31.923000000000002
96,44606,123.32600000000001
44606,96,123.32600000000001
96,808,113.878
808,96,113.878
96,1008,89.652
1008,96,89.652
97,43195,36.561
97,2263,79.488
98,99,128.146
98,100,184.684
99,100,111.72699999999999
99,2746,129.66
2746,99,129.66
100,166,538.1669999999999
101,102,123.061
101,51289,101.35999999999999
102,1833,242.86399999999998
103,42064,20.887
103,48021,49.51
104,1840,274.15299999999996
1840,104,274.15299999999996
105,44559,35.382
105,44560,62.081
106,110,132.78199999999998
106,107,133.751
107,116,88.47699999999999
107,108,36.784000000000006
108,50776,92.95399999999998
108,109,25.113999999999997
109,50209,102.43700000000003
109,51488,158.67999999999995
110,1506,73.918
110,1460,130.498
111,862,161.03500000000003
111,2323,275.72499999999997
2323,111,275.72499999999997
111,136,90.111
136,111,90.111
111,1324,85.357
1324,111,85.357
112,3139,57.373999999999995
112,1483,52.119
113,139,138.14
113,44552,147.37999999999997
114,113,117.06500000000001
115,52137,12.15
115,44553,170.694
44553,115,170.694
116,1281,131.053
116,1496,76.813
116,50776,134.887
50776,116,134.887
117,118,100.57199999999999
117,2081,88.09599999999999
118,83,12.466
119,78,163.297
120,283,76.90599999999999
283,120,76.90599999999999
120,44551,125.775
120,2750,80.86699999999999
2750,120,80.86699999999999
121,137,10.78
121,122,399.502
123,562,73.948
562,123,73.948
123,124,140.079
124,45639,25.51
125,50211,5.467
125,42307,353.868
126,2709,79.313
126,44566,144.292
127,43222,291.65200000000004
127,126,54.095
128,1263,86.46000000000001
128,2440,118.429
129,54137,86.368
54137,129,86.368
129,2318,274.182
130,82,72.66099999999999
131,132,951.1760000000002
131,122,1660.664
132,54315,29.135
133,619,14.532
134,1859,80.485
135,49261,52.935
136,2324,276.154
136,142,230.319
142,136,230.319
137,123,78.219
138,47506,20.564
138,47507,74.57
47507,138,74.57
139,165,1070.6889999999999
140,141,69.747
140,44557,182.59300000000002
141,1751,238.874
142,1325,84.464
1325,142,84.464
143,1634,456.039
143,50606,321.714
144,53738,122.78200000000001
145,43224,31.211999999999996
146,904,133.956
146,43233,143.418
147,135,48.945
147,42054,242.572
148,54141,114.619
148,54143,88.983
54143,148,88.983
149,43231,33.213
43231,149,33.213
150,51374,119.495
150,118,66.023
151,150,54.749
151,117,49.853
152,144,107.11
152,50607,38.432
153,49737,13.404
49737,153,13.404
153,44646,255.68699999999998
44646,153,255.68699999999998
153,2646,75.921
154,43221,555.5600000000001
154,51251,499.3959999999999
51251,154,499.3959999999999
154,158,188.92899999999997
155,43017,81.091
43017,155,81.091
155,1180,59.44800000000001
1180,155,59.44800000000001
155,2397,76.931
156,57,299.4290000000001
156,43207,251.50199999999998
157,44849,195.914
157,3131,91.345
158,52132,388.815
159,3037,76.806
159,46738,28.886
160,2898,160.788
161,54145,44.099999999999994
161,43187,931.3340000000001
162,44546,128.649
163,53261,87.87
163,50608,71.384
164,105,84.018
165,164,97.42599999999999
165,141,419.61800000000005
166,167,97.35399999999998
166,1141,646.9400000000003
167,1142,117.055
168,320,39.804
320,168,39.804
168,41975,164.83499999999998
168,2219,51.043
2219,168,51.043
169,293,204.401
169,2896,174.059
170,169,165.31
171,481,80.365
171,44378,18.308
44378,171,18.308
171,172,132.421
172,171,132.421
172,482,88.695
172,173,80.822
173,172,80.822
173,174,82.346
174,173,82.346
173,2118,225.22199999999998
174,484,123.391
174,175,78.513
175,174,78.513
175,2120,173.278
175,176,82.60199999999999
176,175,82.60199999999999
176,486,157.555
176,177,118.17699999999999
177,176,118.17699999999999
177,178,227.882
178,177,227.882
177,48330,105.53099999999999
48330,177,105.53099999999999
177,487,183.909
487,177,183.909
178,179,76.29899999999999
179,178,76.29899999999999
178,489,233.29899999999998
489,178,233.29899999999998
179,180,77.469
180,179,77.469
180,181,79.33500000000001
181,180,79.33500000000001
181,1301,126.651
181,182,76.70400000000001
182,181,76.70400000000001
182,493,170.32899999999998
182,183,79.44000000000001
183,182,79.44000000000001
183,554,200.38199999999998
183,184,79.015
184,183,79.015
184,495,148.772
184,185,54.518
185,184,54.518
185,186,80.414
186,185,80.414
186,187,73.05
187,186,73.05
186,497,134.39600000000002
187,42017,98.327
42017,187,98.327
187,3182,79.308
188,189,108.22
189,188,108.22
188,324,196.401
188,42020,77.97
42020,188,77.97
189,2385,85.516
2385,189,85.516
189,799,82.683
799,189,82.683
189,190,141.076
190,189,141.076
190,191,142.921
191,190,142.921
191,192,199.122
192,191,199.122
191,3041,81.21100000000001
3041,191,81.21100000000001
192,46761,76.286
46761,192,76.286
192,193,247.48499999999999
193,192,247.48499999999999
193,1494,310.552
1494,193,310.552
193,51676,244.54799999999997
51676,193,244.54799999999997
193,331,86.892
331,193,86.892
195,3193,39.309
3193,195,39.309
195,3160,75.977
3160,195,75.977
196,197,95.02499999999999
196,2400,39.596000000000004
197,198,58.203
197,3074,37.382999999999996
3074,197,37.382999999999996
197,2032,78.834
2032,197,78.834
198,2954,33.742
198,199,90.145
199,2034,66.911
2034,199,66.911
199,2392,30.355999999999998
2392,199,30.355999999999998
200,2346,76.471
200,51287,72.3
200,51509,67.915
51509,200,67.915
201,202,105.816
202,203,73.685
202,2490,90.18
2490,202,90.18
203,2491,87.10100000000001
204,205,89.28399999999999
204,2493,75.212
