no,lng,lat,sites,hotel
0,-73.7946273,40.7864093,,N
1,-73.7570906,40.7624294,,N
2,-73.7441643,40.7534671,,N
3,-73.9600437,40.7980478,,N
4,-73.9614743,40.798645,,N
5,-73.962886,40.7992545,,N
6,-73.9657046,40.8004313,,N
7,-73.9679942,40.8014007,,N
8,-73.9685711,40.8016441,,N
9,-73.9700504,40.8022679,,N
10,-73.9750067,40.7826383,,N
11,-73.9778254,40.783828,,N
12,-73.9795827,40.7845691,,N
13,-73.9806779,40.7850311,,N
14,-73.9820114,40.7855935,,N
15,-73.9313326,40.8593027,,N
16,-73.930122,40.858744,,N
17,-73.927625,40.859012,,N
18,-73.926786,40.859944,,N
19,-73.9703136,40.7839863,,N
20,-73.9731496,40.7851818,,N
21,-73.9759753,40.7863627,,N
22,-73.9776927,40.7870877,,N
23,-73.9788289,40.7875673,,N
24,-73.9810702,40.7885135,,N
25,-73.976212,40.725326,,N
26,-73.9568234,40.8126219,,N
27,-73.9598214,40.8138307,,N
28,-73.9606929,40.814184,,N
29,-73.9959291,40.7328569,,N
30,-73.9991816,40.7341463,,N
31,-74.0087998,40.704221,,N
32,-74.008325,40.703813,,N
33,-74.0077787,40.7033242,,N
34,-74.0089696,40.7041084,,N
35,-74.0079771,40.7032082,,N
36,-73.9810202,40.769279,,N
37,-73.9822548,40.7697921,,N
38,-73.9838467,40.7704805,,N
39,-73.9866896,40.7716682,,N
40,-73.9895487,40.7728658,,N
41,-73.9679486,40.7872303,,N
42,-73.9707862,40.7884325,,N
43,-73.9736025,40.7896131,,N
44,-73.9751319,40.7902552,,N
45,-73.9764565,40.7908174,,N
46,-73.9786893,40.7917606,,N
47,-74.0158085,40.7115654,,N
48,-74.0143968,40.7110102,,N
49,-74.0126714,40.7101452,,N
50,-74.011674,40.709687,,N
51,-74.010521,40.7091439,,N
52,-74.009371,40.708614,,N
53,-74.008269,40.7077219,,N
54,-73.933383,40.801654,,N
55,-73.9337863,40.8021373,,N
56,-73.9328482,40.8021279,,N
57,-73.9310755,40.8006413,,N
58,-74.0074126,40.7482137,,N
59,-74.002383,40.7064526,,N
60,-74.001657,40.7094916,,N
61,-73.9223431,40.7979661,,N
62,-73.9836866,40.7854139,,N
63,-73.982724,40.7880898,,N
64,-73.973672,40.7380812,,N
65,-73.9582334,40.759667,,N
66,-73.9841938,40.7851419,,N
67,-73.9826637,40.7849838,,N
68,-73.9721195,40.7456771,,N
69,-73.9749173,40.7460933,,N
70,-73.9756975,40.7165061,,N
71,-73.9747446,40.7188498,,N
72,-73.9853308,40.7835427,,N
73,-73.9337066,40.8442431,,N
74,-73.9323138,40.8461493,,N
75,-73.9326138,40.8026802,,N
76,-73.9329248,40.8033714,,N
77,-73.9334044,40.8027007,,N
78,-73.977586,40.71325,,N
79,-73.9777809,40.7124485,,N
80,-73.9816369,40.7107361,,N
81,-73.9837441,40.7858009,,N
82,-74.006113,40.7237914,,N
83,-74.007029,40.724504,,N
84,-73.9747141,40.7210513,,N
85,-73.964501,40.7589757,,N
86,-73.9639971,40.7596362,,N
87,-73.960551,40.7595738,,N
88,-73.979076,40.766876,,N
89,-73.9619892,40.7620792,,N
90,-73.9737798,40.738358,,N
91,-73.9987308,40.7588307,,N
92,-73.9969538,40.7593876,,N
93,-73.9992177,40.7588687,,N
94,-73.9968472,40.7577413,,N
95,-73.943749,40.7828637,,N
96,-73.9856663,40.7803049,,N
97,-73.9643559,40.7606212,,N
98,-73.9304732,40.794774,,N
99,-73.9318124,40.7944866,,N
100,-73.9322343,40.793786,,N
101,-73.9483958,40.7696458,,N
102,-73.9491484,40.7687012,,N
103,-73.9950384,40.769378,,N
